cash_request_id_main,user_id,cohort,cash_request_amount,cash_request_status,cash_request_id,type,fee_status,fee_amount,charge_moment
1290,7041,202004,100,rejected,0,0,,,
2297,10497,202005,100,money_back,0,0,,,
2284,9958,202005,100,money_back,0,0,,,
1610,297,202005,100,money_back,0,0,,,
319,502,201912,100,rejected,0,0,,,
320,590,201912,100,rejected,0,0,,,
321,1830,201912,100,rejected,0,0,,,
324,1773,201912,10,rejected,0,0,,,
326,35,201912,90,rejected,0,0,,,
330,812,201912,100,rejected,0,0,,,
1438,8058,202004,100,rejected,0,0,,,
337,1628,201912,50,rejected,0,0,,,
338,736,201912,100,rejected,0,0,,,
339,1753,201912,100,rejected,0,0,,,
1164,1257,202004,100,rejected,0,0,,,
344,1605,201912,90,rejected,0,0,,,
347,1638,201912,100,rejected,0,0,,,
772,1754,202003,100,rejected,0,0,,,
646,433,202002,100,rejected,0,0,,,
641,2481,202002,1,rejected,0,0,,,
829,865,202003,100,rejected,0,0,,,
349,1715,201912,100,rejected,0,0,,,
2254,10023,202005,100,money_back,0,0,,,
2207,2633,202005,100,rejected,0,0,,,
353,1666,201912,100,rejected,0,0,,,
602,3088,202002,100,rejected,0,0,,,
1592,6179,202005,90,rejected,0,0,,,
360,1552,202001,100,rejected,0,0,,,
361,1627,202001,100,rejected,0,0,,,
365,2172,202001,100,rejected,0,0,,,
366,1183,202001,100,rejected,0,0,,,
369,213,202001,100,rejected,0,0,,,
908,114,202003,100,rejected,0,0,,,
990,682,202003,100,rejected,0,0,,,
1401,7446,202004,100,rejected,0,0,,,
609,2647,202002,100,rejected,0,0,,,
1359,4685,202004,100,rejected,0,0,,,
3517,10237,202006,100,rejected,0,0,,,
381,812,202001,100,rejected,0,0,,,
1199,6272,202004,100,money_back,0,0,,,
386,1605,202001,100,rejected,0,0,,,
387,806,202001,100,rejected,0,0,,,
388,781,202001,100,rejected,0,0,,,
2211,3045,202005,100,money_back,2211,postpone,cancelled,5,before
2211,3045,202005,100,money_back,2211,postpone,accepted,5,before
2211,3045,202005,100,money_back,2211,postpone,cancelled,5,after
1875,2161,202005,100,rejected,0,0,,,
397,1753,202001,100,rejected,0,0,,,
619,2811,202002,100,rejected,0,0,,,
402,2280,202001,100,rejected,0,0,,,
404,1007,202001,100,rejected,0,0,,,
405,760,202001,100,rejected,0,0,,,
936,3377,202003,100,rejected,0,0,,,
830,3377,202003,100,rejected,0,0,,,
905,1774,202003,100,rejected,0,0,,,
409,433,202001,100,rejected,0,0,,,
5343,20160,202006,80,rejected,0,0,,,
411,1310,202001,100,rejected,0,0,,,
